registrant_name,times_lobbied,avg_amount,total_amout,start_year,end_year,unique_years,policy_issue
"PRI US, INC",1,0,0,2020,2020,1,electric_vehicles
PRINCIPAL FINANCIAL GROUP,1,487000,487000,2021,2021,1,electric_vehicles
PRISM GROUP,3,0,0,2020,2020,1,electric_vehicles
"PROGRESS ENERGY, INC.",10,422000,4220000,2010,2012,3,electric_vehicles
"PROLOGIS, L.P.",1,0,0,2021,2021,1,electric_vehicles
PUBLIC SERVICE ENTERPRISE GROUP,15,804666.6666666666,12070000,2011,2014,4,electric_vehicles
"PUBLIC STRATEGIES WASHINGTON, INC.",3,0,0,2021,2021,1,electric_vehicles
"PUBLIC STRATEGIES, INC.",1,0,0,2010,2010,1,electric_vehicles
PUGET SOUND ENERGY,17,255294.11764705883,4340000,2010,2014,5,electric_vehicles
QGA PUBLIC AFFAIRS (FORMERLY QUINN GILLESPIE & ASSOCIATES),8,0,0,2010,2012,3,electric_vehicles
"QUALCOMM, INCORPORATED",5,1620000,8100000,2010,2011,2,electric_vehicles
RBF ADVISORS LLC,1,0,0,2019,2019,1,electric_vehicles
"RESOLUTION PUBLIC AFFAIRS, LLC",3,0,0,2021,2021,1,electric_vehicles
RICCHETTI INCORPORATED,5,0,0,2021,2021,1,electric_vehicles
ROBERT BOSCH LLC,8,125625,1005000,2013,2015,3,electric_vehicles
"RUBIN, TURNBULL & ASSOCIATES",3,0,0,2021,2021,1,electric_vehicles
RUSSELL PAUL,1,0,0,2011,2011,1,electric_vehicles
S-3 GROUP,7,0,0,2019,2019,1,electric_vehicles
SALT RIVER PROJECT,2,220000,440000,2010,2021,2,electric_vehicles
SECURING AMERICA'S FUTURE ENERGY ALLIANCE,5,68000,340000,2011,2012,2,electric_vehicles
SEMPRA ENERGY,13,522307.6923076923,6790000,2010,2021,4,electric_vehicles
"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2,3040000,6080000,2010,2011,2,electric_vehicles
"SHL AND ASSOCIATES, INC.",2,0,0,2010,2010,1,electric_vehicles
SIEMENS CORPORATION,7,965714.2857142857,6760000,2010,2021,4,electric_vehicles
SIERRA CLUB,3,123333.33333333333,370000,2011,2021,2,electric_vehicles
"SIGNAL GROUP CONSULTING, LLC",13,0,0,2010,2013,4,electric_vehicles
"SK HYNIX AMERICA, INC.",1,950000,950000,2021,2021,1,electric_vehicles
SKLADANY CONSULTING LLC,2,0,0,2021,2021,1,electric_vehicles
SMITH DAWSON & ANDREWS,6,0,0,2019,2020,2,electric_vehicles
SOLAR ENERGY INDUSTRIES ASSOCIATION,9,366666.6666666667,3300000,2020,2021,2,electric_vehicles
SOUTHERN COMPANY,30,2943000,88290000,2011,2021,8,electric_vehicles
SPECTRA ENERGY,1,351492,351492,2010,2010,1,electric_vehicles
SQUIRE PATTON BOGGS,2,0,0,2021,2021,1,electric_vehicles
STANTON PARK GROUP,1,0,0,2014,2014,1,electric_vehicles
STEPTOE & JOHNSON LLP,10,0,0,2019,2021,3,electric_vehicles
STRATEGIC FEDERAL AFFAIRS,1,0,0,2012,2012,1,electric_vehicles
STRATEGIC MARKETING INNOVATIONS,5,0,0,2010,2021,3,electric_vehicles
"STRATEGICS CONSULTING, LLC",1,0,0,2020,2020,1,electric_vehicles
SUMMIT STRATEGIES GOVERNMENT AFFAIRS LLC,6,0,0,2015,2016,2,electric_vehicles
TACOMA PUBLIC UTILITIES,2,70000,140000,2021,2021,1,electric_vehicles
"TATE STRATEGIES, INC",13,0,0,2010,2012,3,electric_vehicles
TECHNOLOGY NETWORK AKA TECHNET,3,200000,600000,2021,2021,1,electric_vehicles
"TECO ENERGY, INC.",7,167142.85714285713,1170000,2013,2014,2,electric_vehicles
TESLA INC.,1,180000,180000,2019,2019,1,electric_vehicles
TEXAS INSTRUMENTS INCORPORATED,8,348125,2785000,2020,2021,2,electric_vehicles
"THE ALUMINUM ASSOCIATION, INC.",1,40000,40000,2021,2021,1,electric_vehicles
THE DUBERSTEIN GROUP INC.,1,0,0,2021,2021,1,electric_vehicles
"THE FERGUSON GROUP, LLC",4,0,0,2010,2011,2,electric_vehicles
THE INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2,57589.18,115178.36,2012,2012,1,electric_vehicles
THE NATURE CONSERVANCY,8,478750,3830000,2019,2019,1,electric_vehicles
"THE NICKLES GROUP, LLC",9,0,0,2011,2021,3,electric_vehicles
"THE SIMMONS & RUSSELL GROUP, LLC",1,0,0,2021,2021,1,electric_vehicles
THE UNIVERSITY OF TENNESSEE,3,36666.666666666664,110000,2021,2021,1,electric_vehicles
THE WASHINGTON TAX & PUBLIC POLICY GROUP (FORMERLY THE WASHINGTON TAX GROUP),4,0,0,2010,2021,2,electric_vehicles
"THINK POLICY CONSULTING, LLC",3,0,0,2015,2016,2,electric_vehicles
"THINKP3, LLC",16,0,0,2016,2020,5,electric_vehicles
THOMPSON COBURN LLP,2,0,0,2021,2021,1,electric_vehicles
"TIM YEHL, LLC",3,0,0,2021,2021,1,electric_vehicles
TIMOTHY A. GLASSCO CONSULTING LLC,2,0,0,2021,2021,1,electric_vehicles
TOWER 19,7,0,0,2019,2020,2,electric_vehicles
"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)",8,1338500,10708000,2010,2019,5,electric_vehicles
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO",2,85000,170000,2021,2021,1,electric_vehicles
U.S. PUBLIC INTEREST RESEARCH GROUP,3,10000,30000,2019,2021,2,electric_vehicles
UIL HOLDINGS CORPORATION,7,12500,87500,2011,2012,2,electric_vehicles
UNDERWRITERS LABORATORIES INC.,1,120000,120000,2011,2011,1,electric_vehicles
"UNITED AUTOMOBILE, AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS",10,411000,4110000,2018,2020,3,electric_vehicles
UNITED SPINAL ASSOCIATION,1,0,0,2020,2020,1,electric_vehicles
"UPSTREAM CONSULTING, INC.",1,0,0,2012,2012,1,electric_vehicles
"VAN HEUVELEN STRATEGIES, LLC",25,0,0,2010,2021,7,electric_vehicles
VANDERBILT UNIVERSITY,2,30000,60000,2011,2011,1,electric_vehicles
"VOLKSWAGEN GROUP OF AMERICA, INC.",5,276000,1380000,2011,2021,2,electric_vehicles
"WASTE MANAGEMENT, INC.",1,170000,170000,2021,2021,1,electric_vehicles
WAXMAN STRATEGIES,6,0,0,2021,2021,1,electric_vehicles
WEST FRONT STRATEGIES LLC,2,0,0,2021,2021,1,electric_vehicles
"WHITMER & WORRALL, LLC",1,0,0,2021,2021,1,electric_vehicles
"WILLIAMS AND JENSEN, PLLC",1,0,0,2010,2010,1,electric_vehicles
"XCEL ENERGY, INC",29,485172.4137931034,14070000,2010,2021,8,electric_vehicles
ZERO EMISSION TRANSPORTATION ASSOCIATION,4,45000,180000,2021,2021,1,electric_vehicles
ZF ACTIVE SAFETY US INC.,6,5000,30000,2020,2021,2,electric_vehicles
"38 NORTH SOLUTIONS, LLC",1,0,0,2013,2013,1,biofuels
3M COMPANY,29,1113096.103448276,32279787,2011,2016,6,biofuels
ADVANCED ENERGY ECONOMY,2,0,0,2014,2014,1,biofuels
"AG PROCESSING, INC.",4,0,0,2018,2018,1,biofuels
AGRIUM U.S. INC. (A NUTRIEN LTD SUBSIDIARY),2,265000,530000,2020,2020,1,biofuels
AIR LINE PILOTS ASSOCIATION,36,373361.1111111111,13441000,2012,2020,9,biofuels
"AIR TRANSPORT ASSOCIATION OF AMERICA, INC. (D/B/A AIRLINES FOR AMERICA)",7,1488571.4285714286,10420000,2015,2016,2,biofuels
"AIRBUS AMERICAS, INC",13,1161615.3846153845,15101000,2017,2019,3,biofuels
AKIN GUMP STRAUSS HAUER & FELD,40,0,0,2010,2019,8,biofuels
"ALASKA AIRLINES, INC.",14,248571.42857142858,3480000,2011,2020,6,biofuels
ALGENOL BIOFUELS,1,20000,20000,2010,2010,1,biofuels
ALLIANCE FOR AUTOMOTIVE INNOVATION,11,2055572.7272727273,22611300,2011,2012,2,biofuels
"ALPINE GROUP PARTNERS, LLC.",110,0,0,2010,2018,9,biofuels
ALSTON & BIRD LLP,2,0,0,2011,2011,1,biofuels
ALTERNATIVE FUELS & CHEMICALS COALITION,12,4320,51840,2019,2021,3,biofuels
AMERESCO,2,105000,210000,2017,2017,1,biofuels
AMERICAN CAPITOL GROUP,23,0,0,2010,2014,5,biofuels
AMERICAN CLEANING INSTITUTE,38,89789.47368421052,3412000,2010,2020,11,biofuels
AMERICAN COALITION FOR ETHANOL,35,97873.10314285714,3425558.61,2012,2021,10,biofuels
AMERICAN CONSERVATIVE UNION,1,16800,16800,2014,2014,1,biofuels
AMERICAN FARM BUREAU FED,12,973098.5833333334,11677183,2011,2014,4,biofuels
AMERICAN FOREST & PAPER ASSOCIATION,2,705000,1410000,2009,2012,2,biofuels
AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS,10,498340,4983400,2010,2018,4,biofuels
AMERICAN INTERNATIONAL AUTOMOBILE DEALERS ASSOCIATION,9,228111.11111111112,2053000,2011,2012,2,biofuels
AMERICAN JEWISH COMMITTEE,1,50000,50000,2012,2012,1,biofuels
AMERICAN MOTORCYCLIST ASSOCIATION,4,276375,1105500,2018,2018,1,biofuels
AMERICAN PETROLEUM INSTITUTE,13,1927692.3076923077,25060000,2010,2020,8,biofuels
"AMERICAN TECHNOLOGY SPECIALISTS, LLC",1,0,0,2014,2014,1,biofuels
ANDEAVOR,8,946311.375,7570491,2014,2018,3,biofuels
ARCHER DANIELS MIDLAND COMPANY,30,462666.6666666667,13880000,2014,2021,8,biofuels
ARDEIDAE GROUP LLC,1,0,0,2020,2020,1,biofuels
ARENTFOX SCHIFF LLP,7,0,0,2020,2021,2,biofuels
ARIZONA STATE UNIVERSITY,6,30000,180000,2011,2013,3,biofuels
ARKANSAS FARM BUREAU FEDERATION,2,24727.48,49454.96,2011,2011,1,biofuels
ARKEMA INC.,9,190000,1710000,2011,2019,3,biofuels
ASSOCIATION OF EQUIPMENT MANUFACTURERS,29,657037.9310344828,19054100,2011,2020,9,biofuels
"ASSOCIATION OF GLOBAL AUTOMAKERS, INC.",4,380000,1520000,2011,2011,1,biofuels
"BALCH & BINGHAM, LLP",15,0,0,2013,2020,4,biofuels
BALL JANIK LLP,1,0,0,2010,2010,1,biofuels
"BECKER & POLIAKOFF, P.A.",4,0,0,2011,2014,3,biofuels
BIOCOM,2,28500,57000,2010,2011,2,biofuels
BIOTECHNOLOGY INNOVATION ORGANIZATION,58,2360344.827586207,136900000,2010,2021,12,biofuels
BIPARTISAN POLICY CENTER ACTION,1,480000,480000,2013,2013,1,biofuels
BLANK ROME GOVERNMENT RELATIONS,4,0,0,2013,2013,1,biofuels
BLUEWATER STRATEGIES,19,0,0,2010,2015,6,biofuels
"BOCKORNY GROUP, INC.",35,0,0,2011,2021,8,biofuels
BOEING COMPANY,28,4242821.428571428,118799000,2014,2020,7,biofuels
BOYDEN GRAY & ASSOCIATES PLLC,2,0,0,2018,2018,1,biofuels
"BP AMERICA, INC",5,1898000,9490000,2012,2019,3,biofuels
BRACEWELL LLP,38,0,0,2010,2021,5,biofuels
BRET HEALY D/B/A RIVERBLUFF STRATEGIES,21,0,0,2010,2013,4,biofuels
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",3,0,0,2010,2010,1,biofuels
"BUNGE NORTH AMERICA, INC",47,138923.93617021278,6529425,2010,2021,12,biofuels
BUSINESS GOVERNMENT SOLUTIONS,15,0,0,2018,2021,4,biofuels
"C2 GROUP, LLC",3,0,0,2011,2011,1,biofuels
CALIFORNIA LIFE SCIENCES ASSOCIATION,6,215000,1290000,2015,2017,3,biofuels
"CAPITOL CITY GROUP, LTD.",1,0,0,2018,2018,1,biofuels
CAPITOL COUNSEL LLC,4,0,0,2020,2021,2,biofuels
"CAPITOL PARTNERS, INC.",5,0,0,2011,2012,2,biofuels
CAPITOL SOLUTIONS,6,0,0,2011,2012,2,biofuels
"CAPITOLINE CONSULTING, LLC",5,0,0,2017,2018,2,biofuels
"CARGILL, INC.",25,331200,8280000,2011,2021,9,biofuels
"CASSIDY & ASSOCIATES, INC.",2,0,0,2021,2021,1,biofuels
CENTER FOR FREEDOM AND PROSPERITY,3,0,0,2020,2020,1,biofuels
"CHAMBERS, CONLON & HARTWELL, LLC",12,0,0,2012,2014,3,biofuels
CHEVRON U.S.A. INC.,28,2307857.1428571427,64620000,2010,2021,8,biofuels
"CJ LAKE, LLC",6,0,0,2015,2015,1,biofuels
"CLARK HILL, PLC",1,0,0,2010,2010,1,biofuels
CLAUSTEN LLC,45,0,0,2011,2019,9,biofuels
CLEAN FUELS ALLIANCE AMERICA F/K/A NATIONAL BIODIESEL BOARD,50,364087.006,18204350.3,2010,2021,12,biofuels
CLEMSON UNIVERSITY,3,68658.77333333333,205976.32,2010,2011,2,biofuels
"CODEXIS, INC.",6,9140.666666666666,54844,2011,2012,2,biofuels
"COMBEST, SELL & ASSOCIATES, LLC",8,0,0,2018,2021,2,biofuels
"CONAGRA BRANDS, INC.",15,138666.66666666666,2080000,2011,2014,4,biofuels
CONSUMER BRANDS ASSOCIATION (PKA: GROCERY MANUFACTURERS ASSOCIATION),1,660000,660000,2012,2012,1,biofuels
CORNELL UNIVERSITY,1,50000,50000,2011,2011,1,biofuels
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",2,0,0,2021,2021,1,biofuels
CORTEVA AGRISCIENCE LLC (FKA E.I. DU PONT DE NEMOURS AND COMPANY),45,1583507.1555555556,71257822,2010,2018,9,biofuels
COUNCIL OF INDUSTRIAL BOILER OWNERS,3,30000,90000,2010,2011,2,biofuels
COVANTA ENERGY LLC,6,193333.33333333334,1160000,2020,2021,2,biofuels
"CRACKER BARREL OLD COUNTRY STORE, INC.",1,40000,40000,2011,2011,1,biofuels
CULTIVATING CONSERVATION,1,0,0,2019,2019,1,biofuels
"DARDEN RESTAURANTS, INC.",2,300000,600000,2011,2012,2,biofuels
"DC LEGISLATIVE AND REGULATORY SERVICES, INC.",30,0,0,2010,2021,8,biofuels
"DCG PUBLIC AFFAIRS, LLC",7,0,0,2012,2013,2,biofuels
DEBORAH HOHLT,7,0,0,2010,2011,2,biofuels
DEERE & COMPANY,47,320170.21276595746,15048000,2013,2021,9,biofuels
"DELEK US HOLDINGS, INC.",9,141111.11111111112,1270000,2019,2020,2,biofuels
DENNY MILLER ASSOCIATES,12,0,0,2011,2013,3,biofuels
DENTONS US LLP,15,0,0,2011,2014,4,biofuels
"DESIMONE CONSULTING, LLC",27,0,0,2012,2018,7,biofuels
DICKSTEIN SHAPIRO LLP,13,0,0,2011,2014,4,biofuels
DOW LOHNES GOVERNMENT STRATEGIES LLC,10,0,0,2010,2012,3,biofuels
"DUTKO WORLDWIDE, LLC",28,0,0,2010,2014,5,biofuels
"DYNAMIC CHANGE GROUP, LLC",8,0,0,2013,2021,3,biofuels
"EDENIQ, INC.",5,34000,170000,2017,2018,2,biofuels
EHRLICH & ASSOCIATES,2,0,0,2020,2020,1,biofuels
ENI US OPERATING CO. INC.,1,10000,10000,2021,2021,1,biofuels
ENVIRONMENTAL WORKING GROUP,8,78844.3125,630754.5,2009,2012,4,biofuels
ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),60,0,0,2010,2021,11,biofuels
EXXON MOBIL CORP,10,3300000,33000000,2010,2018,4,biofuels
FARMERS EDUCATIONAL COOPERATIVE UNION OF AMERICA,15,49066.666666666664,736000,2010,2014,5,biofuels
"FEDERAL ADVOCATES, INC.",2,0,0,2016,2016,1,biofuels
FEROX STRATEGIES,3,0,0,2019,2020,2,biofuels
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),11,0,0,2013,2016,4,biofuels
FLORIDA CRYSTALS CORPORATION,49,268306.1224489796,13147000,2010,2021,12,biofuels
FORBES-TATE,4,0,0,2012,2013,2,biofuels
FRIENDS OF THE EARTH,2,7381.49,14762.98,2013,2013,1,biofuels
GENERAL ATOMICS,4,580000,2320000,2010,2011,2,biofuels
GEORG I. ABAKUMOV,1,0,0,2011,2011,1,biofuels
GORDLEY ASSOCIATES,7,0,0,2010,2011,2,biofuels
GRAYROBINSON PA,12,0,0,2019,2021,3,biofuels
GREEN CAPITOL LLC,80,0,0,2010,2021,12,biofuels
GREEN PLAINS INC.,10,120000,1200000,2018,2021,3,biofuels
GREYSTONE GROUP LLC,1,0,0,2012,2012,1,biofuels
GRIFFIN FOSTER,7,0,0,2010,2011,2,biofuels
"GROWTH ENERGY, INC.",61,386721.31147540984,23590000,2010,2021,12,biofuels
"HENGEN GROUP, LLC",4,0,0,2012,2013,2,biofuels
HERITAGE ACTION FOR AMERICA,2,210000,420000,2017,2017,1,biofuels
HOGAN LOVELLS US LLP,1,0,0,2017,2017,1,biofuels
HOLLAND & KNIGHT LLP,118,0,0,2010,2021,12,biofuels
HONEYWELL INTERNATIONAL,51,1446470.5882352942,73770000,2010,2021,12,biofuels
HORMEL FOODS CORPORATION,4,95567.5,382270,2010,2011,2,biofuels
HUSCH BLACKWELL STRATEGIES,1,0,0,2021,2021,1,biofuels
"HYUNDAI - KIA AMERICA TECHNICAL CENTER, INC.",1,100000,100000,2011,2011,1,biofuels
ILLINOIS AGRICULTURAL ASSOCIATION,13,46923.07692307692,610000,2011,2021,9,biofuels
"INDIANA FARM BUREAU, INC",4,92500,370000,2013,2016,3,biofuels
"INT'L ASS'N OF SHEET METAL, AIR, RAIL & TRANSP. WORKERS, TRANSP. DIV.",7,392271.28571428574,2745899,2011,2012,2,biofuels
INTERNATIONAL FLAVORS & FRAGRANCES INC.,1,0,0,2021,2021,1,biofuels
INVARIANT LLC,17,0,0,2017,2021,5,biofuels
IOWA FARM BUREAU FEDERATION,4,60394,241576,2014,2020,3,biofuels
IOWA STATE UNIVERSITY,4,25750,103000,2012,2012,1,biofuels
J M BURKMAN & ASSOCIATES,12,0,0,2013,2016,4,biofuels
JBS USA LLC ( FORMERLY KNOWN AS JBS SWIFT & COMPANY),5,189898.2,949491,2011,2012,2,biofuels
JEFFERSON STREET CONSULTING LLC,26,0,0,2010,2016,7,biofuels
"JIM MASSIE & PARTNERS, LLC",44,0,0,2017,2019,3,biofuels
JOANNE IVANCIC,2,0,0,2010,2010,1,biofuels
JOHN GRZEBIEN,20,0,0,2010,2016,7,biofuels
"K&L GATES, LLP",59,0,0,2010,2018,9,biofuels
KATHLEEN BENNETT,1,0,0,2011,2011,1,biofuels
KILPATRICK TOWNSEND STOCKTON LLP,1,0,0,2021,2021,1,biofuels
"KIMBERLY CONSULTING, LLC",7,0,0,2010,2012,3,biofuels
KINETIC SOLUTIONS GROUP,1,0,0,2014,2014,1,biofuels
"KINGHORN, HILBERT & ASSOCIATES",1,0,0,2010,2010,1,biofuels
KIT BOND STRATEGIES,1,0,0,2021,2021,1,biofuels
"KOCH COMPANIES PUBLIC SECTOR, LLC",28,2715714.285714286,76040000,2010,2018,5,biofuels
"KOUNTOUPES DENHAM CARR & REID, LLC",8,0,0,2010,2021,3,biofuels
LANZATECH INC.,4,47500,190000,2021,2021,1,biofuels
"LEWIS-BURKE ASSOCIATES, LLC",2,0,0,2010,2011,2,biofuels
LINDE INC.,3,186666.66666666666,560000,2011,2012,2,biofuels
LOBBYIT.COM,2,0,0,2011,2011,1,biofuels
LYONDELL CHEMICAL COMPANY,5,300000,1500000,2011,2012,2,biofuels
MAGELLAN MIDSTREAM PARTNERS,2,31519,63038,2011,2011,1,biofuels
"MANATT, PHELPS, AND PHILLIPS",4,0,0,2014,2015,2,biofuels
MARATHON PETROLEUM COMPANY LP,10,682000,6820000,2013,2014,2,biofuels
MCAPITOL MANAGEMENT,3,0,0,2010,2010,1,biofuels
"MCB CONSULTING, LLC",3,0,0,2014,2015,2,biofuels
MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),18,0,0,2010,2014,5,biofuels
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",1,0,0,2012,2012,1,biofuels
"MERCURY PUBLIC AFFAIRS, LLC",1,0,0,2010,2010,1,biofuels
MGV LLC,5,0,0,2021,2021,1,biofuels
"MICHAEL TORREY ASSOCIATES, LLC",19,0,0,2011,2021,5,biofuels
MICHIGAN FARM BUREAU,2,65000,130000,2019,2020,2,biofuels
MINNESOTA FARM BUREAU FEDERATION,1,20000,20000,2014,2014,1,biofuels
MISSOURI FARM BUREAU FEDERATION,11,52727.27272727273,580000,2011,2016,4,biofuels
"ML STRATEGIES, LLC",16,0,0,2010,2013,4,biofuels
MONSANTO COMPANY,6,1541666.6666666667,9250000,2010,2012,3,biofuels
MONUMENT ADVOCACY,1,0,0,2010,2010,1,biofuels
MOTOR & EQUIPMENT MANUFACTURERS ASSOCIATION,7,37232.05,260624.35,2011,2012,2,biofuels
MR. KENDELL KEITH,4,0,0,2015,2020,2,biofuels
MR. LORENZ HART,1,0,0,2014,2014,1,biofuels
MR. MARK KOPEC,1,0,0,2013,2013,1,biofuels
MR. ROBERT L. REDDING JR.,1,0,0,2011,2011,1,biofuels
MS. SUZANNE EISOLD,3,0,0,2011,2011,1,biofuels
NATIONAL ASSOCIATION OF CONVENIENCE STORES,9,853444.4444444445,7681000,2010,2012,3,biofuels
NATIONAL CORN GROWERS ASSN,55,136672.72727272726,7517000,2010,2021,12,biofuels
NATIONAL COTTON COUNCIL,1,160000,160000,2015,2015,1,biofuels
NATIONAL ENERGY & FUELS INSTITUTE,19,51578.94736842105,980000,2016,2020,5,biofuels
NATIONAL ENVIRONMENTAL STRATEGIES,1,0,0,2010,2010,1,biofuels
NATIONAL MILK PRODUCERS FEDERATION,42,177190.04761904763,7441982,2011,2018,8,biofuels
NATIONAL OILSEED PROCESSORS ASSOCIATION,5,39000,195000,2020,2021,2,biofuels
NATIONAL RETAIL FEDERATION,3,750000,2250000,2011,2013,3,biofuels
"NATSO, INC.",27,51949.74074074074,1402643,2010,2021,8,biofuels
NATURAL RESOURCES DEFENSE COUNCIL,5,148582.2,742911,2008,2013,3,biofuels
NEBRASKA FARM BUREAU FEDERATION,4,40000,160000,2014,2016,3,biofuels
"NESTE US, INC.",1,0,0,2019,2019,1,biofuels
NESTLE USA,4,612500,2450000,2011,2012,2,biofuels
NEW ENGLAND CLEAN ENERGY COUNCIL,1,0,0,2014,2014,1,biofuels
NEW GENERATION BIOFUELS (FORMERLY H2DIESEL),2,10000,20000,2010,2011,2,biofuels
"NEW YORK FARM BUREAU, INC.",1,30000,30000,2015,2015,1,biofuels
NORTH AMERICAN MEAT INSTITUTE (AMERICAN MEAT INSTITUTE),14,58326.71428571428,816574,2011,2012,2,biofuels
NORTH CAROLINA STATE UNIVERSITY,16,35625,570000,2010,2014,5,biofuels
NOVOZYMES,15,85427.08733333333,1281406.31,2010,2021,9,biofuels
"NUTTER & HARRIS, INC",23,0,0,2010,2016,7,biofuels
OGILVY GOVERNMENT RELATIONS,8,0,0,2011,2012,2,biofuels
"OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC",28,0,0,2011,2013,3,biofuels
OREGON FARM BUREAU FEDERATION,6,14955.833333333334,89735,2014,2021,5,biofuels
OREGON STATE UNIVERSITY,7,40000,280000,2010,2012,3,biofuels
PEABODY INVESTMENTS CORP.,10,1063000,10630000,2011,2013,3,biofuels
"PEPSICO, INC",5,782000,3910000,2011,2011,1,biofuels
PHILLIPS 66,3,596666.6666666666,1790000,2020,2020,1,biofuels
"PLAYMAKER STRATEGIES, LLC",3,0,0,2020,2021,2,biofuels
"PLUM CREEK TIMBER COMPANY, INC.",23,181956.52173913043,4185000,2010,2016,7,biofuels
"PODESTA GROUP, INC.",20,0,0,2010,2014,5,biofuels
"POET, LLC",45,334888.8888888889,15070000,2011,2021,10,biofuels
POLICY DIRECTIONS INC.,61,0,0,2010,2015,6,biofuels
POLICY NAVIGATION GROUP,3,0,0,2012,2014,3,biofuels
PRIME POLICY GROUP,4,0,0,2011,2012,2,biofuels
PRISON FELLOWSHIP MINISTRIES,1,0,0,2008,2008,1,biofuels
RAFFANIELLO & ASSOCIATES,26,0,0,2015,2021,7,biofuels
"RENEWABLE ENERGY GROUP, INC.",34,85205.88235294117,2897000,2012,2021,9,biofuels
RENEWABLE FUELS ASSOCIATION,37,288382.1724324324,10670140.38,2013,2021,9,biofuels
"ROBERTI GLOBAL (FKA ROBERTI WHITE, LLC)",11,0,0,2018,2020,3,biofuels
ROSE GARR,6,0,0,2016,2018,3,biofuels
"RYAN MACKINNON VASAPOLI AND BERZOK, LLP",6,0,0,2012,2013,2,biofuels
SARA LEE CORPORATION,6,156666.66666666666,940000,2011,2012,2,biofuels
SC PARTNERS LLC,2,0,0,2010,2010,1,biofuels
SEABOARD CORPORATION,17,52038.17647058824,884649,2011,2020,5,biofuels
"SHELL USA, INC. (FKA SHELL OIL COMPANY)",3,3330000,9990000,2010,2011,2,biofuels
SHENKER RUSSO & CLARK LLP,8,0,0,2017,2018,2,biofuels
SIERRA CLUB,2,90000,180000,2010,2012,2,biofuels
"SIGNAL GROUP CONSULTING, LLC",155,0,0,2010,2018,9,biofuels
SLK STRATEGIES,9,0,0,2016,2016,1,biofuels
SMITH&BOYETTE,35,0,0,2010,2018,9,biofuels
SNAC INTERNATIONAL,12,32500,390000,2011,2015,5,biofuels
"SOLAZYME, INC.",2,40000,80000,2010,2010,1,biofuels
SPECIALTY EQUIPMENT MARKET ASSOCIATION,6,106666.66666666667,640000,2013,2014,2,biofuels
SQUIRE PATTON BOGGS,8,0,0,2010,2017,4,biofuels
STRATEGIC MARKETING INNOVATIONS,41,0,0,2010,2020,9,biofuels
"STUNTZ DAVIS & STAFFIER, P.C.",1,0,0,2012,2012,1,biofuels
SUMITOMO CORPORATION OF AMERICAS,1,0,0,2018,2018,1,biofuels
SYNGENTA CORPORATION,29,266896.5517241379,7740000,2010,2016,7,biofuels
TEMPLE-INLAND INC.,4,93750,375000,2010,2011,2,biofuels
THE COLLEGE OF WILLIAM & MARY,2,25000,50000,2011,2012,2,biofuels
"THE CORMAC GROUP, LLC",1,0,0,2009,2009,1,biofuels
THE DIAMOND GROUP,29,0,0,2010,2016,7,biofuels
"THE DOW CHEMICAL COMPANY, DBA DOW",2,1487500,2975000,2010,2010,1,biofuels
THE DUBERSTEIN GROUP INC.,2,0,0,2021,2021,1,biofuels
THE HERSHEY COMPANY,6,154500,927000,2010,2012,3,biofuels
"THE HOBBS GROUP, LLC",22,0,0,2010,2015,6,biofuels
THE LUGAR GROUP (FKA LUGAR HELLMANN GROUP),8,0,0,2015,2016,2,biofuels
THE NATURE CONSERVANCY,4,307500,1230000,2012,2013,2,biofuels
THE NEW ENGLAND COUNCIL,1,10000,10000,2019,2019,1,biofuels
"THE NORMANDY GROUP, LLC",2,0,0,2010,2010,1,biofuels
"THE OB-C GROUP, LLC",17,0,0,2010,2014,5,biofuels
THE PENNSYLVANIA STATE UNIVERSITY,4,112500,450000,2019,2019,1,biofuels
"THE PICARD GROUP, LLC",2,0,0,2015,2015,1,biofuels
THE SAME PAGE,6,0,0,2010,2011,2,biofuels
THE UNION OF CONCERNED SCIENTISTS,3,91816.86666666667,275450.6,2010,2012,3,biofuels
THE UNIVERSITY OF NORTH CAROLINA SYSTEM,5,116811.684,584058.42,2010,2011,2,biofuels
THE UNIVERSITY OF TENNESSEE,11,31818.18181818182,350000,2019,2021,3,biofuels
THE VOGEL GROUP,2,0,0,2021,2021,1,biofuels
THE WIGGLESWORTH COMPANY (TERESA N. WIGGLESWORTH),4,0,0,2013,2013,1,biofuels
TIBER CREEK GROUP,18,0,0,2017,2021,3,biofuels
"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)",3,1009000,3027000,2011,2011,1,biofuels
"TYSON FOODS, INC",45,302878.2451111111,13629521.03,2012,2021,10,biofuels
